实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,330,23.544,330,-23.544,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,280,<>,215,115.899,215,66,495,81,,,,,,,-0,32,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,250,81,505,81,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,250,-81,505,-81,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,-66,455,-66,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,455,70,495,70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,455,-70,495,-70,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,140,<>,-108.263,-70,-132.92,-70,-130.474,70,,,,,,,90,32,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,326,25,330,23.544,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,326,-25,330,-23.544,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,326,25,326,-25,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-475,-75,-475,75,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,115,<>,215,-46.416,215,-30,330,-23.544,,,,,,,-0,32,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-355,-23,-410,-23,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,72.5,205,72.5,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,205,72.5,205,70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,-72.5,205,-72.5,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,205,-72.5,205,-70,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,1080,<>,-475,-175.807,-475,-75,605,-83,,,,,,,-0,32,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,55,<>,-410,38.661,-410,23,-355,8.991,,,,,,,0,32,,,
